iter	Passed	Remaining
879	90162	22540
880	90251	22434
881	90356	22333
882	90437	22225
883	90529	22120
884	90632	22018
885	90729	21914
886	90845	21815
887	90971	21718
888	91112	21625
889	91248	21530
890	91382	21435
891	91500	21336
892	91618	21237
893	91723	21135
894	91827	21033
895	91931	20930
896	92035	20828
897	92155	20729
898	92269	20629
899	92360	20524
900	92443	20417
901	92548	20315
902	92657	20214
903	92749	20109
904	92846	20005
905	92933	19899
906	93044	19798
907	93153	19697
908	93268	19597
909	93381	19497
910	93491	19396
911	93596	19294
912	93736	19199
913	93877	19104
914	94000	19005
915	94088	18899
916	94179	18794
917	94280	18691
918	94384	18589
919	94479	18485
920	94580	18382
921	94680	18278
922	94785	18176
923	94895	18075
924	94996	17972
925	95129	17875
926	95214	17769
927	95324	17667
928	95411	17562
929	95488	17454
930	95574	17349
931	95709	17252
932	95813	17149
933	95899	17044
934	95998	16940
935	96101	16838
936	96203	16735
937	96303	16632
938	96394	16527
939	96522	16429
940	96632	16327
941	96736	16225
942	96820	16119
943	96935	16018
944	97017	15912
945	97117	15809
946	97212	15705
947	97315	15603
948	97432	15502
949	97529	15399
950	97638	15297
951	97770	15199
952	97873	15096
953	97978	14994
954	98104	14895
955	98221	14794
956	98354	14696
957	98466	14595
958	98588	14495
959	98699	14393
960	98797	14290
961	98907	14188
962	99004	14084
963	99110	13982
964	99243	13883
965	99338	13779
966	99446	13677
967	99563	13576
968	99712	13480
969	99848	13381
970	99934	13276
971	100028	13172
972	100126	13068
973	100208	12963
974	100300	12859
975	100389	12754
976	100492	12651
977	100596	12548
978	100682	12443
979	100769	12339
980	100858	12234
981	100947	12130
982	101028	12024
983	101110	11919
984	101206	11815
985	101291	11711
986	101379	11606
987	101461	11501
988	101541	11396
989	101622	11291
990	101728	11189
991	101831	11086
992	101912	10981
993	101993	10876
994	102085	10772
995	102203	10671
996	102314	10570
997	102433	10469
998	102542	10367
999	102658	10265
1000	102739	10161
1001	102844	10058
1002	102955	9956
1003	103051	9853
1004	103151	9750
1005	103269	9649
1006	103376	9547
1007	103479	9444
1008	103571	9340
1009	103677	9238
1010	103771	9135
1011	103861	9031
1012	103960	8928
1013	104066	8826
1014	104148	8721
1015	104240	8618
1016	104352	8516
1017	104444	8413
1018	104551	8310
1019	104644	8207
1020	104741	8104
1021	104839	8001
1022	104934	7898
1023	105036	7795
1024	105135	7692
1025	105226	7589
1026	105341	7487
1027	105422	7383
1028	105525	7281
1029	105635	7179
1030	105741	7076
1031	105832	6973
1032	105929	6870
1033	106016	6767
1034	106103	6663
1035	106249	6563
1036	106376	6462
1037	106496	6361
1038	106590	6257
1039	106676	6154
1040	106767	6051
1041	106867	5948
1042	106976	5846
1043	107089	5744
1044	107193	5641
1045	107298	5539
1046	107400	5436
1047	107489	5333
1048	107599	5231
1049	107687	5127
1050	107801	5025
1051	107911	4923
1052	108052	4822
1053	108192	4721
1054	108283	4618
1055	108397	4516
1056	108495	4413
1057	108588	4310
1058	108689	4208
1059	108774	4104
1060	108876	4002
1061	108968	3899
1062	109053	3795
1063	109131	3692
1064	109218	3589
1065	109305	3486
1066	109384	3383
1067	109470	3280
1068	109551	3176
1069	109644	3074
1070	109734	2971
1071	109814	2868
1072	109904	2765
1073	109998	2662
1074	110081	2560
1075	110182	2457
1076	110259	2354
1077	110339	2251
1078	110433	2149
1079	110528	2046
1080	110614	1944
1081	110700	1841
1082	110785	1739
1083	110880	1636
1084	110970	1534
1085	111051	1431
1086	111139	1329
1087	111227	1226
1088	111319	1124
1089	111417	1022
1090	111493	919
1091	111575	817
1092	111667	715
1093	111756	612
1094	111844	510
1095	111945	408
1096	112032	306
1097	112119	204
1098	112205	102
1099	112304	0
